Company,Ticker,Date,Segement,Call,Price
Synergy Pharmaceuticals (SGYP),SGYP,4/19/2016,Lightning Round ,Negative Mention ,3.64
RPM International (RPM),RPM,4/19/2016,Lightning Round ,Buy Recommendations ,51.45
Sturm Ruger (RGR),RGR,4/19/2016,Lightning Round ,Negative Mention ,66.12
Pandora Media (P),P,4/19/2016,Lightning Round ,Sell Recommendations ,8.8
Netflix (NFLX),NFLX,4/19/2016,Discussed Stock,Negative Mention ,94.34
Morgan Stanley (MS),MS,4/19/2016,Discussed Stock,Positive Mention ,26.46
Kellogg (K),K,4/19/2016,Featured Stock,Negative Mention ,77.6
IBM (IBM),IBM,4/19/2016,Discussed Stock,Positive Mention ,144
Goldman Sachs (GS),GS,4/19/2016,Discussed Stock,Buy Recommendations ,162.65
Golar LNG (GLNG),GLNG,4/19/2016,Lightning Round ,Sell Recommendations ,21.73
Freeport-McMoRan (FCX),FCX,4/19/2016,Discussed Stock,Positive Mention ,12.01
Walt Disney (DIS),DIS,4/19/2016,Featured Stock,Buy Recommendations ,102.64
Deere & Company (DE),DE,4/19/2016,Lightning Round ,Negative Mention ,82.36
Chevron (CVX),CVX,4/19/2016,Discussed Stock,Positive Mention ,100.5
Comcast (CMCSA),CMCSA,4/19/2016,Featured Stock,Positive Mention ,62.28
CBS Corp (CBS),CBS,4/19/2016,Featured Stock,Positive Mention ,54.96
Bank of America (BAC),BAC,4/19/2016,Discussed Stock,Positive Mention ,14.45
AGCO (AGCO),AGCO,4/19/2016,Lightning Round ,Buy Recommendations ,52.26
Apple (AAPL),AAPL,4/19/2016,Lightning Round ,Buy Recommendations ,106.91
Alcoa (AA),AA,4/19/2016,Discussed Stock,Buy Recommendations ,10.53
Yum! Brands (YUM),YUM,4/20/2016,Lightning Round ,Positive Mention ,81.7
Whole Foods Markets (WFM),WFM,4/20/2016,Lightning Round ,Buy Recommendations ,29.53
Wells Fargo (WFC),WFC,4/20/2016,Discussed Stock,Buy Recommendations ,50.05
Splunk (SPLK),SPLK,4/20/2016,Lightning Round ,Buy Recommendations ,51.57
Pulte Homes (PHM),PHM,4/20/2016,Guest Interview ,Negative Mention ,19.13
Morgan Stanley (MS),MS,4/20/2016,Discussed Stock,Positive Mention ,27.26
Kroger (KR),KR,4/20/2016,Lightning Round ,Negative Mention ,36.47
Kohlberg Kravis Roberts (KKR),KKR,4/20/2016,Lightning Round ,Buy Recommendations ,14.87
JPMorgan Chase (JPM),JPM,4/20/2016,Discussed Stock,Positive Mention ,63.6
Intel (INTC),INTC,4/20/2016,Featured Stock,Buy Recommendations ,31.97
Illumina (ILMN),ILMN,4/20/2016,Lightning Round ,Sell Recommendations ,144.95
IBM (IBM),IBM,4/20/2016,Discussed Stock,Positive Mention ,149.3
Fiesta Restaurant Group (FRGI),FRGI,4/20/2016,Lightning Round ,Sell Recommendations ,34.89
Ford Motor (F),F,4/20/2016,Lightning Round ,Buy Recommendations ,13.65
Exact Sciences (EXAS),EXAS,4/20/2016,Lightning Round ,Sell Recommendations ,7.82
Dow Chemical (DOW),DOW,4/20/2016,Discussed Stock,Buy Recommendations ,51.98
Citigroup (C),C,4/20/2016,Discussed Stock,Positive Mention ,46.6
BP (BP),BP,4/20/2016,Lightning Round ,Sell Recommendations ,31.74
BioMarin (BMRN),BMRN,4/20/2016,Guest Interview ,Buy Recommendations ,91.99
Bank of America (BAC),BAC,4/20/2016,Discussed Stock,Positive Mention ,14.9
American Express (AXP),AXP,4/20/2016,Discussed Stock,Positive Mention ,65.61
Wynn Resorts (WYNN),WYNN,4/21/2016,Discussed Stock,Positive Mention ,95.79
Visa (V),V,4/21/2016,Discussed Stock,Buy Recommendations ,80.79
Snap-on (SNA),SNA,4/21/2016,Guest Interview ,Buy Recommendations ,160.2
SolarCity (SCTY),SCTY,4/21/2016,Lightning Round ,Negative Mention ,33.87
Starbucks (SBUX),SBUX,4/21/2016,Guest Interview ,Buy Recommendations ,60.64
RR Donnelley (RRD),RRD,4/21/2016,Lightning Round ,Buy Recommendations ,17.4
Microsoft (MSFT),MSFT,4/21/2016,Discussed Stock,Buy Recommendations ,55.78
MetLife (MET),MET,4/21/2016,Lightning Round ,Positive Mention ,46.12
Las Vegas Sands (LVS),LVS,4/21/2016,Featured Stock,Negative Mention ,47.39
LAM Research (LRCX),LRCX,4/21/2016,Guest Interview ,Buy Recommendations ,80.82
International Paper (IP),IP,4/21/2016,Lightning Round ,Buy Recommendations ,42.57
Alphabet (GOOGL),GOOGL,4/21/2016,Discussed Stock,Buy Recommendations ,780
First Solar (FSLR),FSLR,4/21/2016,Lightning Round ,Buy Recommendations ,61.94
American Water Works (AWK),AWK,4/21/2016,Lightning Round ,Negative Mention ,68.26
Exxon Mobil (XOM),XOM,4/22/2016,Discussed Stock,Negative Mention ,87.53
Weyerhaeuser (WY),WY,4/22/2016,Lightning Round ,Buy Recommendations ,32.26
Visa (V),V,4/22/2016,Discussed Stock,Positive Mention ,79.11
Twitter (TWTR),TWTR,4/22/2016,Discussed Stock,Negative Mention ,17.23
