Company,Ticker,Date,Segement,Call,Price
NVIDIA (NVDA),NVDA,6/20/2016,Discussed Stock,Positive Mention ,47.56
Mueller Water Products (MWA),MWA,6/20/2016,Lightning Round ,Buy Recommendations ,11.39
Micron Technology (MU),MU,6/20/2016,Lightning Round ,Positive Mention ,12.32
3M (MMM),MMM,6/20/2016,Discussed Stock,Buy Recommendations ,171.23
Medtronic (MDT),MDT,6/20/2016,Lightning Round ,Buy Recommendations ,84.47
Honeywell (HON),HON,6/20/2016,Discussed Stock,Buy Recommendations ,117.06
Holly Energy Partners (HEP),HEP,6/20/2016,Lightning Round ,Negative Mention ,35.05
Dollar Tree (DLTR),DLTR,6/20/2016,Discussed Stock,Positive Mention ,92.48
Chevron (CVX),CVX,6/20/2016,Lightning Round ,Positive Mention ,102.61
Cheniere Energy Partners (CQP),CQP,6/20/2016,Lightning Round ,Negative Mention ,29.62
Costco (COST),COST,6/20/2016,Featured Stock,Buy Recommendations ,156.48
Core Labs (CLB),CLB,6/20/2016,Lightning Round ,Positive Mention ,122.6
Celgene (CELG),CELG,6/20/2016,Lightning Round ,Negative Mention ,99.29
American Express (AXP),AXP,6/20/2016,Discussed Stock,Negative Mention ,62.3
Valeant Pharmaceuticals (VRX),VRX,6/21/2016,Discussed Stock,Sell Recommendations ,21.64
Thor Industries (THO),THO,6/21/2016,Featured Stock,Buy Recommendations ,64.34
Southwestern Energy (SWN),SWN,6/21/2016,Discussed Stock,Sell Recommendations ,14.13
JM Smucker (SJM),SJM,6/21/2016,Discussed Stock,Buy Recommendations ,146
Six Flags (SIX),SIX,6/21/2016,Discussed Stock,Positive Mention ,56.42
Range Resources (RRC),RRC,6/21/2016,Discussed Stock,Sell Recommendations ,46.45
Popeyes Louisiana Kitchen (PLKI),PLKI,6/21/2016,Lightning Round ,Buy Recommendations ,54.87
Polaris Industries (PII),PII,6/21/2016,Featured Stock,Sell Recommendations ,83.27
Netflix (NFLX),NFLX,6/21/2016,Discussed Stock,Positive Mention ,90.99
Lennar (LEN),LEN,6/21/2016,Discussed Stock,Negative Mention ,46.14
Carmax (KMX),KMX,6/21/2016,Discussed Stock,Negative Mention ,48.14
Inovio Pharmaceutical (INO),INO,6/21/2016,Lightning Round ,Negative Mention ,11.26
Harman International (HAR),HAR,6/21/2016,Lightning Round ,Sell Recommendations ,75.44
Facebook (FB),FB,6/21/2016,Discussed Stock,Positive Mention ,114.38
Danaher (DHR),DHR,6/21/2016,Featured Stock,Buy Recommendations ,99.03
Chesapeake Energy (CHK),CHK,6/21/2016,Lightning Round ,Sell Recommendations ,4.62
Caterpillar (CAT),CAT,6/21/2016,Lightning Round ,Positive Mention ,76.49
Bill Barrett (BBG),BBG,6/21/2016,Lightning Round ,Sell Recommendations ,7.33
Allergan (AGN),AGN,6/21/2016,Lightning Round ,Negative Mention ,231.55
Alcoa (AA),AA,6/21/2016,Lightning Round ,Positive Mention ,9.86
United Technologies (UTX),UTX,6/22/2016,Lightning Round ,Buy Recommendations ,101.35
Tesla (TSLA),TSLA,6/22/2016,Discussed Stock,Negative Mention ,196.66
Smith & Wesson (SWHC),SWHC,6/22/2016,Lightning Round ,Buy Recommendations ,25.48
Skechers USA (SKX),SKX,6/22/2016,Lightning Round ,Negative Mention ,29.06
Sturm Ruger (RGR),RGR,6/22/2016,Lightning Round ,Negative Mention ,61.86
Nevsun Resources (NSU),NSU,6/22/2016,Lightning Round ,Sell Recommendations ,2.89
New Relic (NEWR),NEWR,6/22/2016,Guest Interview ,Buy Recommendations ,30.11
Kinder Morgan (KMI),KMI,6/22/2016,Lightning Round ,Negative Mention ,18.51
Intel (INTC),INTC,6/22/2016,Lightning Round ,Negative Mention ,32.29
Fitbit (FIT),FIT,6/22/2016,Guest Interview ,Buy Recommendations ,12.79
Enterprise Products Partn (EPD),EPD,6/22/2016,Lightning Round ,Positive Mention ,28.74
Abbott Laboratories (ABT),ABT,6/22/2016,Lightning Round ,Buy Recommendations ,38.74
Western Digital (WDC),WDC,6/23/2016,Discussed Stock,Buy Recommendations ,50.81
Texas Instruments (TXN),TXN,6/23/2016,Discussed Stock,Positive Mention ,63.3
Twitter (TWTR),TWTR,6/23/2016,Discussed Stock,Positive Mention ,17.04
Twilio (TWLO),TWLO,6/23/2016,Discussed Stock,Positive Mention ,28.79
Tootsie Roll (TR),TR,6/23/2016,Lightning Round ,Buy Recommendations ,36.78
SkyWest (SKYW),SKYW,6/23/2016,Lightning Round ,Buy Recommendations ,25.64
Dave and Busters (PLAY),PLAY,6/23/2016,Lightning Round ,Buy Recommendations ,46.52
NVIDIA (NVDA),NVDA,6/23/2016,Discussed Stock,Positive Mention ,48.49
Micron Technology (MU),MU,6/23/2016,Discussed Stock,Buy Recommendations ,14.05
Microsoft (MSFT),MSFT,6/23/2016,Discussed Stock,Negative Mention ,51.91
Facebook (FB),FB,6/23/2016,Discussed Stock,Buy Recommendations ,115.08
Ford Motor (F),F,6/23/2016,Guest Interview ,Buy Recommendations ,13.4
Broadcom (AVGO),AVGO,6/23/2016,Discussed Stock,Positive Mention ,158.62
Amazon (AMZN),AMZN,6/23/2016,Discussed Stock,Buy Recommendations ,722.08
UnitedHealth Group (UNH),UNH,6/24/2016,Lightning Round ,Buy Recommendations ,137.29
Constellation Brands (STZ),STZ,6/24/2016,Discussed Stock,Buy Recommendations ,152.53
Red Hat (RHT),RHT,6/24/2016,Guest Interview ,Buy Recommendations ,73.62
Oasis Petroleum (OAS),OAS,6/24/2016,Lightning Round ,Sell Recommendations ,9.59
Nike (NKE),NKE,6/24/2016,Discussed Stock,Negative Mention ,52.59
Monsanto (MON),MON,6/24/2016,Discussed Stock,Negative Mention ,104.07
Monster Beverage (MNST),MNST,6/24/2016,Lightning Round ,Buy Recommendations ,153.44
McCormick (MKC),MKC,6/24/2016,Discussed Stock,Buy Recommendations ,101.57
Lennar (LEN),LEN,6/24/2016,Discussed Stock,Negative Mention ,44.73
Carmax (KMX),KMX,6/24/2016,Discussed Stock,Negative Mention ,46.32
General Mills (GIS),GIS,6/24/2016,Discussed Stock,Positive Mention ,66.14
Finish Line (FINL),FINL,6/24/2016,Discussed Stock,Positive Mention ,20.45
Emerge Energy Services (EMES),EMES,6/24/2016,Lightning Round ,Positive Mention ,13.06
Darden Restaurants (DRI),DRI,6/24/2016,Discussed Stock,Buy Recommendations ,66.84
Cisco Systems (CSCO),CSCO,6/24/2016,Guest Interview ,Buy Recommendations ,27.75
Cemig (CIG),CIG,6/24/2016,Lightning Round ,Sell Recommendations ,1.87
Carnival (CCL),CCL,6/24/2016,Discussed Stock,Negative Mention ,45.65
ConAgra Foods (CAG),CAG,6/24/2016,Discussed Stock,Buy Recommendations ,46.95
Bed Bath & Beyond (BBBY),BBBY,6/24/2016,Discussed Stock,Negative Mention ,43.31
Alnylam Pharmaceuticals (ALNY),ALNY,6/24/2016,Lightning Round ,Sell Recommendations ,54.31
Adobe Systems (ADBE),ADBE,6/24/2016,Discussed Stock,Negative Mention ,92.2
Twilio (TWLO),TWLO,6/27/2016,Featured Stock,Buy Recommendations ,27.25
Synergy Pharmaceuticals (SGYP),SGYP,6/27/2016,Lightning Round ,Negative Mention ,3.4
Ross Stores (ROST),ROST,6/27/2016,Discussed Stock,Positive Mention ,54.75
Royal Bank (RBS),RBS,6/27/2016,Discussed Stock,Negative Mention ,4.69
Lloyds TSB (LYG),LYG,6/27/2016,Discussed Stock,Negative Mention ,2.78
Kroger (KR),KR,6/27/2016,Discussed Stock,Positive Mention ,36.62
Keryx Biopharmaceutical (KERX),KERX,6/27/2016,Lightning Round ,Buy Recommendations ,5.78
Johnson & Johnson (JNJ),JNJ,6/27/2016,Discussed Stock,Buy Recommendations ,116.55
Idexx Laboratories (IDXX),IDXX,6/27/2016,Guest Interview ,Buy Recommendations ,86.62
Ford Motor (F),F,6/27/2016,Guest Interview ,Buy Recommendations ,12.16
Dollar General (DG),DG,6/27/2016,Discussed Stock,Positive Mention ,93.51
Charter Communications (CHTR),CHTR,6/27/2016,Lightning Round ,Buy Recommendations ,216.28
Bristol-Myers Squibb (BMY),BMY,6/27/2016,Discussed Stock,Buy Recommendations ,70.32
Amazon (AMZN),AMZN,6/27/2016,Discussed Stock,Positive Mention ,691.36
Ulta Beauty (ULTA),ULTA,6/28/2016,Discussed Stock,Buy Recommendations ,236.21
United Continental (UAL),UAL,6/28/2016,Lightning Round ,Negative Mention ,38.95
Sirius XM Radio (SIRI),SIRI,6/28/2016,Lightning Round ,Buy Recommendations ,3.83
Puma Biotechnology (PBYI),PBYI,6/28/2016,Lightning Round ,Positive Mention ,29.09
Palo Alto Networks (PANW),PANW,6/28/2016,Lightning Round ,Positive Mention ,118.42
Insperity (NSP),NSP,6/28/2016,Featured Stock,Buy Recommendations ,73.09
Netflix (NFLX),NFLX,6/28/2016,Discussed Stock,Buy Recommendations ,87.97
Southwest Airlines (LUV),LUV,6/28/2016,Lightning Round ,Buy Recommendations ,37.43
JPMorgan Chase (JPM),JPM,6/28/2016,Discussed Stock,Positive Mention ,59.52
Alphabet (GOOGL),GOOGL,6/28/2016,Discussed Stock,Negative Mention ,691.26
Facebook (FB),FB,6/28/2016,Discussed Stock,Buy Recommendations ,112.7
Broadcom (AVGO),AVGO,6/28/2016,Discussed Stock,Buy Recommendations ,149.77
Amazon (AMZN),AMZN,6/28/2016,Discussed Stock,Buy Recommendations ,707.95
Verizon (VZ),VZ,6/29/2016,Lightning Round ,Buy Recommendations ,55.06
Marriott Vacations Worldw (VAC),VAC,6/29/2016,Discussed Stock,Positive Mention ,66.99
Under Armour (UA),UA,6/29/2016,Discussed Stock,Positive Mention ,39.75
Thermo Fisher Scientific (TMO),TMO,6/29/2016,Lightning Round ,Buy Recommendations ,145.16
Sears Holdings (SHLD),SHLD,6/29/2016,Discussed Stock,Sell Recommendations ,13.34
Prospect Capital (PSEC),PSEC,6/29/2016,Lightning Round ,Negative Mention ,7.85
Spark Therapeutics (ONCE),ONCE,6/29/2016,Lightning Round ,Negative Mention ,49.17
Nike (NKE),NKE,6/29/2016,Discussed Stock,Positive Mention ,55.13
Macy's (M),M,6/29/2016,Discussed Stock,Negative Mention ,33.32
Southwest Airlines (LUV),LUV,6/29/2016,Discussed Stock,Buy Recommendations ,38.89
Lululemon Athletica (LULU),LULU,6/29/2016,Discussed Stock,Positive Mention ,71.65
Kohl's (KSS),KSS,6/29/2016,Discussed Stock,Negative Mention ,37.74
Kraft Heinz (KHC),KHC,6/29/2016,Discussed Stock,Positive Mention ,86.1
Kellogg (K),K,6/29/2016,Discussed Stock,Positive Mention ,77.57
Nordstrom (JWN),JWN,6/29/2016,Discussed Stock,Positive Mention ,37.87
JC Penney (JCP),JCP,6/29/2016,Discussed Stock,Positive Mention ,8.88
Illumina (ILMN),ILMN,6/29/2016,Lightning Round ,Hold or Neutral ,137.58
Hyatt Hotels (H),H,6/29/2016,Discussed Stock,Positive Mention ,48.29
General Mills (GIS),GIS,6/29/2016,Discussed Stock,Positive Mention ,67.86
General Electric (GE),GE,6/29/2016,Lightning Round ,Buy Recommendations ,30.55
Freeport-McMoRan (FCX),FCX,6/29/2016,Lightning Round ,Sell Recommendations ,10.77
Dillard's (DDS),DDS,6/29/2016,Discussed Stock,Negative Mention ,60.42
Dominion Energy (D),D,6/29/2016,Lightning Round ,Buy Recommendations ,76.41
AGCO (AGCO),AGCO,6/29/2016,Guest Interview ,Positive Mention ,46.45
Wynn Resorts (WYNN),WYNN,6/30/2016,Lightning Round ,Buy Recommendations ,90.64
WhiteWave Foods (WWAV),WWAV,6/30/2016,Discussed Stock,Buy Recommendations ,46.94
Valeant Pharmaceuticals (VRX),VRX,6/30/2016,Lightning Round ,Sell Recommendations ,20.14
Valley National Bancorp (VLY),VLY,6/30/2016,Lightning Round ,Buy Recommendations ,9.12
Visa (V),V,6/30/2016,Lightning Round ,Buy Recommendations ,74.17
Travelers Companies (TRV),TRV,6/30/2016,Lightning Round ,Buy Recommendations ,119.04
Constellation Brands (STZ),STZ,6/30/2016,Guest Interview ,Buy Recommendations ,165.4
Starz (STRZA),STRZA,6/30/2016,Discussed Stock,Positive Mention ,29.92
Sarepta Therapeutics (SRPT),SRPT,6/30/2016,Lightning Round ,Negative Mention ,19.07
Paychex (PAYX),PAYX,6/30/2016,Guest Interview ,Buy Recommendations ,59.5
Novartis AG (NVS),NVS,6/30/2016,Lightning Round ,Buy Recommendations ,82.51
Medivation (MDVN),MDVN,6/30/2016,Lightning Round ,Buy Recommendations ,60.3
Hershey Foods (HSY),HSY,6/30/2016,Discussed Stock,Positive Mention ,117.79
General Mills (GIS),GIS,6/30/2016,Discussed Stock,Buy Recommendations ,71.32
Flextronics (FLEX),FLEX,6/30/2016,Lightning Round ,Buy Recommendations ,11.8
Fortress Investments (FIG),FIG,6/30/2016,Lightning Round ,Sell Recommendations ,4.42
Cliffs Natural Resources (CLF),CLF,6/30/2016,Lightning Round ,Sell Recommendations ,5.67
Bristol-Myers Squibb (BMY),BMY,6/30/2016,Lightning Round ,Buy Recommendations ,73.55
AstraZeneca (AZN),AZN,6/30/2016,Lightning Round ,Sell Recommendations ,30.19
American International Gr (AIG),AIG,6/30/2016,Lightning Round ,Negative Mention ,52.89
Yum! Brands (YUM),YUM,7/1/2016,Discussed Stock,Buy Recommendations ,83.53
Xylem (XYL),XYL,7/1/2016,Featured Stock,Buy Recommendations ,44.87
Wabco Holdings (WAB),WAB,7/1/2016,Lightning Round ,Hold or Neutral ,70.19
Constellation Brands (STZ),STZ,7/1/2016,Discussed Stock,Buy Recommendations ,163.61
Restaurant Brands (QSR),QSR,7/1/2016,Discussed Stock,Hold or Neutral ,41.67
Pentair (PNR),PNR,7/1/2016,Featured Stock,Positive Mention ,58.83
Office Depot (ODP),ODP,7/1/2016,Lightning Round ,Sell Recommendations ,3.4
NXP Semiconductors (NXPI),NXPI,7/1/2016,Lightning Round ,Buy Recommendations ,77.97
Network Appliance (NTAP),NTAP,7/1/2016,Lightning Round ,Sell Recommendations ,24.29
Nike (NKE),NKE,7/1/2016,Discussed Stock,Buy Recommendations ,55.61
McDonald's (MCD),MCD,7/1/2016,Discussed Stock,Buy Recommendations ,120.4
GoPro (GPRO),GPRO,7/1/2016,Lightning Round ,Negative Mention ,11.05
General Mills (GIS),GIS,7/1/2016,Discussed Stock,Buy Recommendations ,71.94
Flowserve (FLS),FLS,7/1/2016,Featured Stock,Negative Mention ,45.45
Darden Restaurants (DRI),DRI,7/1/2016,Discussed Stock,Hold or Neutral ,63
Domino's Pizza (DPZ),DPZ,7/1/2016,Discussed Stock,Negative Mention ,132.59
Digital Realty Trust (DLR),DLR,7/1/2016,Lightning Round ,Buy Recommendations ,109
Chipotle Mexican Grill (CMG),CMG,7/1/2016,Discussed Stock,Positive Mention ,393.91
Chegg (CHGG),CHGG,7/1/2016,Lightning Round ,Sell Recommendations ,5.06
Teladoc (TDOC),TDOC,7/11/2016,Lightning Round ,Sell Recommendations ,15.4
AT&T (T),T,7/11/2016,Discussed Stock,Buy Recommendations ,42.51
Southwestern Energy (SWN),SWN,7/11/2016,Discussed Stock,Positive Mention ,12.9
Seagate Technology (STX),STX,7/11/2016,Discussed Stock,Positive Mention ,24.09
PPL Corp (PPL),PPL,7/11/2016,Discussed Stock,Negative Mention ,37.64
Oneok (OKE),OKE,7/11/2016,Discussed Stock,Positive Mention ,47.44
Home Depot (HD),HD,7/11/2016,Discussed Stock,Buy Recommendations ,135.15
First Solar (FSLR),FSLR,7/11/2016,Lightning Round ,Buy Recommendations ,46.49
Exelon (EXC),EXC,7/11/2016,Discussed Stock,Buy Recommendations ,36.4
Chegg (CHGG),CHGG,7/11/2016,Lightning Round ,Negative Mention ,5.31
Cal-Maine Foods (CALM),CALM,7/11/2016,Lightning Round ,Sell Recommendations ,45.68
American Water Works (AWK),AWK,7/11/2016,Discussed Stock,Buy Recommendations ,82.76
Broadcom (AVGO),AVGO,7/11/2016,Discussed Stock,Buy Recommendations ,157.36
Amazon (AMZN),AMZN,7/11/2016,Discussed Stock,Positive Mention ,753.78
Alcoa (AA),AA,7/11/2016,Guest Interview ,Buy Recommendations ,10.14
United Continental (UAL),UAL,7/12/2016,Discussed Stock,Buy Recommendations ,46.16
Tyco (TYC),TYC,7/12/2016,Discussed Stock,Positive Mention ,43.1
Tyson Foods (TSN),TSN,7/12/2016,Discussed Stock,Positive Mention ,68.66
Tractor Supply (TSCO),TSCO,7/12/2016,Lightning Round ,Buy Recommendations ,93.82
Skyworks Solutions (SWKS),SWKS,7/12/2016,Discussed Stock,Negative Mention ,65.8
Qualcomm (QCOM),QCOM,7/12/2016,Discussed Stock,Positive Mention ,54.62
NXP Semiconductors (NXPI),NXPI,7/12/2016,Discussed Stock,Buy Recommendations ,80.61
Northrop Grumman (NOC),NOC,7/12/2016,Lightning Round ,Buy Recommendations ,220.47
Newmont Mining (NEM),NEM,7/12/2016,Discussed Stock,Positive Mention ,39.96
Vail Resorts (MTN),MTN,7/12/2016,Lightning Round ,Buy Recommendations ,144.8
Lockheed Martin (LMT),LMT,7/12/2016,Lightning Round ,Buy Recommendations ,254.7
Intel (INTC),INTC,7/12/2016,Discussed Stock,Buy Recommendations ,34.94
Hershey Foods (HSY),HSY,7/12/2016,Discussed Stock,Positive Mention ,108.74
General Dynamics (GD),GD,7/12/2016,Lightning Round ,Positive Mention ,141.54
Freeport-McMoRan (FCX),FCX,7/12/2016,Discussed Stock,Positive Mention ,12.9
Campbell Soup (CPB),CPB,7/12/2016,Discussed Stock,Positive Mention ,66.47
Cummins (CMI),CMI,7/12/2016,Discussed Stock,Positive Mention ,118.98
Cliffs Natural Resources (CLF),CLF,7/12/2016,Discussed Stock,Positive Mention ,7.33
Cambrex (CBM),CBM,7/12/2016,Lightning Round ,Buy Recommendations ,57
Caterpillar (CAT),CAT,7/12/2016,Lightning Round ,Buy Recommendations ,79.8
Apple Hospitality REIT (APLE),APLE,7/12/2016,Lightning Round ,Buy Recommendations ,19.56
Avangrid (AGR),AGR,7/12/2016,Guest Interview ,Buy Recommendations ,45.46
American Airlines (AAL),AAL,7/12/2016,Discussed Stock,Positive Mention ,34.66
Alcoa (AA),AA,7/12/2016,Discussed Stock,Buy Recommendations ,10.69
Tesaro (TSRO),TSRO,7/13/2016,Lightning Round ,Negative Mention ,84.69
Seagate Technology (STX),STX,7/13/2016,Discussed Stock,Negative Mention ,29.83
Radius Health (RDUS),RDUS,7/13/2016,Lightning Round ,Positive Mention ,39.27
Legg Mason (LM),LM,7/13/2016,Discussed Stock,Negative Mention ,31.47
Kinder Morgan (KMI),KMI,7/13/2016,Lightning Round ,Positive Mention ,20.21
Iron Mountain (IRM),IRM,7/13/2016,Discussed Stock,Positive Mention ,40.52
Intuit (INTU),INTU,7/13/2016,Discussed Stock,Positive Mention ,115.92
Alphabet (GOOGL),GOOGL,7/13/2016,Discussed Stock,Positive Mention ,729.48
Barrick Gold (GOLD),GOLD,7/13/2016,Featured Stock,Buy Recommendations ,120.3
General Mills (GIS),GIS,7/13/2016,Featured Stock,Buy Recommendations ,71.94
Diamondback Energy (FANG),FANG,7/13/2016,Discussed Stock,Positive Mention ,91.04
Equinix (EQIX),EQIX,7/13/2016,Lightning Round ,Buy Recommendations ,386.71
Digital Realty Trust (DLR),DLR,7/13/2016,Discussed Stock,Positive Mention ,109.82
Cirrus Logic (CRUS),CRUS,7/13/2016,Lightning Round ,Positive Mention ,39.34
CoreSite Realty (COR),COR,7/13/2016,Lightning Round ,Negative Mention ,85.83
Calgon Carbon (CCC),CCC,7/13/2016,Lightning Round ,Buy Recommendations ,13.76
The Blackstone Group (BX),BX,7/13/2016,Lightning Round ,Positive Mention ,24.8
Autodesk (ADSK),ADSK,7/13/2016,Discussed Stock,Negative Mention ,56.87
Apple (AAPL),AAPL,7/13/2016,Discussed Stock,Positive Mention ,96.87
Wynn Resorts (WYNN),WYNN,7/14/2016,Discussed Stock,Buy Recommendations ,92.02
Whole Foods Markets (WFM),WFM,7/14/2016,Lightning Round ,Buy Recommendations ,33.58
Vodafone Group (VOD),VOD,7/14/2016,Lightning Round ,Buy Recommendations ,30.71
Ulta Beauty (ULTA),ULTA,7/14/2016,Discussed Stock,Buy Recommendations ,255.11
Stryker (SYK),SYK,7/14/2016,Discussed Stock,Buy Recommendations ,122.3
Seagate Technology (STX),STX,7/14/2016,Discussed Stock,Positive Mention ,29.19
Signet Jewelers (SIG),SIG,7/14/2016,Discussed Stock,Negative Mention ,91.59
Ship Finance Internationa (SFL),SFL,7/14/2016,Lightning Round ,Negative Mention ,14.78
Royal Caribbean Cruises (RCL),RCL,7/14/2016,Discussed Stock,Negative Mention ,71.88
Rite Aid (RAD),RAD,7/14/2016,Lightning Round ,Negative Mention ,7.02
Perrigo (PRGO),PRGO,7/14/2016,Discussed Stock,Negative Mention ,93.63
Plains All American Pipel (PAA),PAA,7/14/2016,Lightning Round ,Sell Recommendations ,29.16
Nordic American Tanker (NAT),NAT,7/14/2016,Lightning Round ,Positive Mention ,13.74
JD.com (JD),JD,7/14/2016,Lightning Round ,Sell Recommendations ,21.68
Johnson Controls (JCI),JCI,7/14/2016,Lightning Round ,Buy Recommendations ,44.13
Intuit (INTU),INTU,7/14/2016,Lightning Round ,Buy Recommendations ,116.39
H&R Block (HRB),HRB,7/14/2016,Lightning Round ,Sell Recommendations ,23.8
Federal Realty Investment (FRT),FRT,7/14/2016,Guest Interview ,Buy Recommendations ,165.27
Endo Pharmaceuticals (ENDP),ENDP,7/14/2016,Discussed Stock,Sell Recommendations ,17.68
CSX (CSX),CSX,7/14/2016,Discussed Stock,Positive Mention ,29.05
Boston Scientific (BSX),BSX,7/14/2016,Discussed Stock,Buy Recommendations ,23.78
Alcoa (AA),AA,7/14/2016,Discussed Stock,Positive Mention ,10.71
Yahoo! (YHOO),YHOO,7/15/2016,Discussed Stock,Negative Mention ,37.75
UnitedHealth Group (UNH),UNH,7/15/2016,Discussed Stock,Buy Recommendations ,141.37
Schlumberger (SLB),SLB,7/15/2016,Discussed Stock,Positive Mention ,79.13
Starbucks (SBUX),SBUX,7/15/2016,Discussed Stock,Buy Recommendations ,57.3
Netflix (NFLX),NFLX,7/15/2016,Discussed Stock,Positive Mention ,98.63
Microsoft (MSFT),MSFT,7/15/2016,Discussed Stock,Negative Mention ,53.5
JPMorgan Chase (JPM),JPM,7/15/2016,Discussed Stock,Buy Recommendations ,63.92
Johnson & Johnson (JNJ),JNJ,7/15/2016,Discussed Stock,Buy Recommendations ,122.93
IBM (IBM),IBM,7/15/2016,Discussed Stock,Positive Mention ,159.61
Honeywell (HON),HON,7/15/2016,Discussed Stock,Buy Recommendations ,119.23
Goldman Sachs (GS),GS,7/15/2016,Discussed Stock,Buy Recommendations ,161.23
General Motors (GM),GM,7/15/2016,Discussed Stock,Positive Mention ,30.78
General Electric (GE),GE,7/15/2016,Discussed Stock,Buy Recommendations ,32.81
Domino's Pizza (DPZ),DPZ,7/15/2016,Discussed Stock,Positive Mention ,135.66
Chipotle Mexican Grill (CMG),CMG,7/15/2016,Discussed Stock,Buy Recommendations ,404.6
Bank of America (BAC),BAC,7/15/2016,Discussed Stock,Negative Mention ,13.57
American Express (AXP),AXP,7/15/2016,Discussed Stock,Sell Recommendations ,63.58
Abbott Laboratories (ABT),ABT,7/15/2016,Discussed Stock,Buy Recommendations ,42.08
United Continental (UAL),UAL,7/18/2016,Discussed Stock,Positive Mention ,47.71
TJX Companies (TJX),TJX,7/18/2016,Discussed Stock,Buy Recommendations ,79.26
Teva Pharmaceuticals (TEVA),TEVA,7/18/2016,Lightning Round ,Sell Recommendations ,54.1
Seagate Technology (STX),STX,7/18/2016,Discussed Stock,Positive Mention ,30.15
Stamps.com (STMP),STMP,7/18/2016,Lightning Round ,Negative Mention ,74.73
Square (SQ),SQ,7/18/2016,Discussed Stock,Positive Mention ,9.27
Ship Finance Internationa (SFL),SFL,7/18/2016,Lightning Round ,Positive Mention ,14.83
Ross Stores (ROST),ROST,7/18/2016,Discussed Stock,Positive Mention ,58.95
PayPal (PYPL),PYPL,7/18/2016,Discussed Stock,Buy Recommendations ,38.92
Pepsico (PEP),PEP,7/18/2016,Discussed Stock,Buy Recommendations ,109.21
On Deck Capital (ONDK),ONDK,7/18/2016,Discussed Stock,Negative Mention ,5.49
LendingClub (LC),LC,7/18/2016,Discussed Stock,Sell Recommendations ,4.6
Hasbro (HAS),HAS,7/18/2016,Guest Interview ,Buy Recommendations ,79.82
Five Below (FIVE),FIVE,7/18/2016,Discussed Stock,Positive Mention ,49.9
Danaher (DHR),DHR,7/18/2016,Lightning Round ,Buy Recommendations ,80.94
Dollar General (DG),DG,7/18/2016,Discussed Stock,Buy Recommendations ,92.82
Delta Air Lines (DAL),DAL,7/18/2016,Discussed Stock,Positive Mention ,40.1
CSX (CSX),CSX,7/18/2016,Discussed Stock,Positive Mention ,28.47
CBRL Group (CBRL),CBRL,7/18/2016,Lightning Round ,Buy Recommendations ,153.26
Burlington Stores (BURL),BURL,7/18/2016,Discussed Stock,Positive Mention ,73.58
American Express (AXP),AXP,7/18/2016,Discussed Stock,Sell Recommendations ,63.99
Allergan (AGN),AGN,7/18/2016,Lightning Round ,Buy Recommendations ,244.43
Alcoa (AA),AA,7/18/2016,Discussed Stock,Buy Recommendations ,10.92
Netflix (NFLX),NFLX,7/19/2016,Featured Stock,Sell Recommendations ,85.84
Juno Therapeutics (JUNO),JUNO,7/19/2016,Lightning Round ,Negative Mention ,27.47
JPMorgan Chase (JPM),JPM,7/19/2016,Discussed Stock,Buy Recommendations ,63.86
Johnson & Johnson (JNJ),JNJ,7/19/2016,Discussed Stock,Buy Recommendations ,125.25
IBM (IBM),IBM,7/19/2016,Discussed Stock,Positive Mention ,159.58
Hasbro (HAS),HAS,7/19/2016,Featured Stock,Buy Recommendations ,81.08
Harman International (HAR),HAR,7/19/2016,Lightning Round ,Negative Mention ,77.98
Goldman Sachs (GS),GS,7/19/2016,Discussed Stock,Positive Mention ,161.41
Fortive (FTV),FTV,7/19/2016,Featured Stock,Negative Mention ,51.55
Danaher (DHR),DHR,7/19/2016,Featured Stock,Buy Recommendations ,80.88
Bristol-Myers Squibb (BMY),BMY,7/19/2016,Lightning Round ,Buy Recommendations ,75.47
Abiomed (ABMD),ABMD,7/19/2016,Lightning Round ,Negative Mention ,116.59
XPO Logistics (XPO),XPO,7/20/2016,Guest Interview ,Buy Recommendations ,27.92
JM Smucker (SJM),SJM,7/20/2016,Discussed Stock,Buy Recommendations ,152.05
Synergy Pharmaceuticals (SGYP),SGYP,7/20/2016,Lightning Round ,Negative Mention ,4
Microsoft (MSFT),MSFT,7/20/2016,Discussed Stock,Positive Mention ,55.84
Monsanto (MON),MON,7/20/2016,Lightning Round ,Negative Mention ,106.97
Illinois Tool Works (ITW),ITW,7/20/2016,Discussed Stock,Positive Mention ,114.51
Henry Schein (HSIC),HSIC,7/20/2016,Discussed Stock,Buy Recommendations ,180.14
Freshpet (FRPT),FRPT,7/20/2016,Featured Stock,Negative Mention ,10.08
Facebook (FB),FB,7/20/2016,Discussed Stock,Buy Recommendations ,121.61
Digital Realty Trust (DLR),DLR,7/20/2016,Lightning Round ,Buy Recommendations ,103.4
Cintas (CTAS),CTAS,7/20/2016,Discussed Stock,Positive Mention ,107.46
Communications Sales & Le (CSAL),CSAL,7/20/2016,Lightning Round ,Positive Mention ,31.03
Core Labs (CLB),CLB,7/20/2016,Guest Interview ,Buy Recommendations ,125.2
Central Garden & Pet (CENTA),CENTA,7/20/2016,Discussed Stock,Negative Mention ,23.4
Blue Buffalo Pet Products (BUFF),BUFF,7/20/2016,Featured Stock,Buy Recommendations ,25.76
Amazon (AMZN),AMZN,7/20/2016,Discussed Stock,Buy Recommendations ,747.45
